,날짜,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
0,201201,"9,922","9,948","10,031","10,087","10,252","10,058","10,194",-,"10,149","13,848","10,711","10,040","10,615","10,889","11,880","10,892","22,133"
1,201202,"9,922","9,948","10,031","10,087","10,252","10,058","10,194",-,"10,149","13,848","10,711","10,040","10,615","10,889","11,880","10,892","22,133"
2,201203,"9,922","9,948","10,031","10,087","10,252","10,058","10,194",-,"10,149","13,848","10,711","10,040","10,615","10,889","11,880","10,892","22,133"
3,201204,"9,922","9,948","10,031","10,087","10,252","10,058","10,194",-,"10,149","13,848","10,711","10,040","10,615","10,889","11,880","10,892","22,133"
4,201205,"9,922","9,948","10,031","10,087","10,252","10,058","10,194",-,"10,149","13,848","10,711","10,040","10,615","10,889","11,880","10,892","22,133"
5,201206,"9,922","9,948","10,031","10,087","10,252","10,058","10,194",-,"10,149","13,848","10,711","10,040","10,615","10,889","11,880","10,892","22,133"
6,201207,"10,294","10,319","10,401","10,457","10,379","10,429","10,563",-,"10,518","14,114","11,040","10,400","10,956","11,253","12,043","11,203","22,379"
7,201208,"10,294","10,319","10,427","10,457","10,379","10,476","10,563",-,"10,518","14,114","11,040","10,403","10,956","11,253","11,132","11,203","21,179"
8,201209,"10,294","10,319","10,427","10,457","10,379","10,476","10,563",-,"10,518","14,114","11,040","10,403","10,956","11,253","11,132","11,203","21,179"
9,201210,"10,294","10,319","10,427","10,457","10,379","10,476","10,563",-,"10,518","14,526","11,040","10,403","10,956","11,253","11,133","11,203","22,754"
10,201211,"10,294","10,319","10,427","10,457","10,379","10,476","10,563",-,"10,518","14,510","11,040","10,403","10,925","11,257","11,133","11,203","22,754"
11,201212,"10,424","10,450","10,558","10,589","10,510","10,560","10,696",-,"10,650","14,614","11,179","10,531","11,060","11,391","11,353","11,344","22,133"
12,201301,"10,294","10,319","10,427","10,457","10,379","10,476","10,563",-,"10,518","14,510","11,039","10,403","10,911","11,259","11,133","11,203","22,754"
13,201302,"10,294","10,319","10,427","10,457","10,379","10,476","10,563",-,"10,518","14,510","11,039","10,403","10,911","11,259","11,133","11,203","22,754"
14,201303,"10,736","10,761","10,869","10,899","10,821","10,918","11,005",-,"10,960","14,755","11,481","10,845","11,353","11,701","11,575","11,645","22,454"
15,201304,"10,736","10,761","10,869","10,899","10,821","10,918","11,005",-,"10,960","14,755","11,481","10,845","11,353","11,701","11,575","11,645","22,454"
16,201305,"10,736","10,761","10,869","10,899","10,821","10,918","11,005",-,"10,960","14,755","11,481","10,845","11,353","11,701","11,575","11,645","22,454"
17,201306,"10,736","10,761","10,869","10,899","10,821","10,918","11,005",-,"10,960","14,755","11,481","10,845","11,353","11,701","11,575","11,645","22,454"
18,201307,"10,736","10,761","10,869","10,899","10,821","10,918","10,802",-,"10,960","14,755","11,472","10,833","11,353","11,701","11,575","11,671","21,254"
