,지점,지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자
0,108,서울,1993-01,-1.9,1.9,8.4,1993-01-24,-5.5,-11.1,1993-01-19
1,108,서울,1993-02,1.0,5.3,14.2,1993-02-06,-2.9,-8.6,1993-02-24
2,108,서울,1993-03,5.8,10.5,16.6,1993-03-27,1.9,-6.2,1993-03-02
3,108,서울,1993-04,10.6,15.8,23.5,1993-04-21,6.3,-0.3,1993-04-09
4,108,서울,1993-05,18.2,23.8,31.9,1993-05-29,13.3,9.4,1993-05-02
5,108,서울,1993-06,21.3,25.8,29.2,1993-06-26,17.8,13.4,1993-06-02
6,108,서울,1993-07,23.3,27.6,31.1,1993-07-07,19.8,16.2,1993-07-21
7,108,서울,1993-08,23.2,27.5,30.6,1993-08-12,19.8,16.3,1993-08-30
8,108,서울,1993-09,21.2,26.3,30.5,1993-09-01,16.9,10.8,1993-09-30
9,108,서울,1993-10,13.4,19.3,25.0,1993-10-08,8.3,0.6,1993-10-31
10,108,서울,1993-11,8.5,12.5,20.9,1993-11-11,5.2,-9.0,1993-11-24
11,108,서울,1993-12,-0.2,3.8,10.0,1993-12-25,-3.8,-11.2,1993-12-15
12,108,서울,1994-01,-0.9,3.1,10.0,1994-01-09,-4.7,-12.3,1994-01-19
13,108,서울,1994-02,0.8,5.8,11.4,1994-02-19,-3.2,-10.8,1994-02-10
14,108,서울,1994-03,4.0,8.9,18.6,1994-03-31,-0.1,-5.5,1994-03-01
15,108,서울,1994-04,15.2,21.4,28.9,1994-04-06,10.0,5.7,1994-04-14
16,108,서울,1994-05,17.9,23.1,28.0,1994-05-23,13.4,8.3,1994-05-05
17,108,서울,1994-06,22.8,28.2,34.7,1994-06-17,18.1,13.4,1994-06-20
18,108,서울,1994-07,28.5,32.6,38.4,1994-07-24,25.3,21.3,1994-07-02
19,108,서울,1994-08,27.6,31.9,37.0,1994-08-09,24.4,19.0,1994-08-22
20,108,서울,1994-09,21.0,26.1,32.0,1994-09-04,16.7,12.1,1994-09-25
21,108,서울,1994-10,15.2,20.3,25.9,1994-10-09,11.3,3.2,1994-10-31
22,108,서울,1994-11,9.3,13.6,19.8,1994-11-06,5.4,-2.2,1994-11-27
23,108,서울,1994-12,1.1,4.7,12.4,1994-12-01,-2.4,-12.6,1994-12-16
24,108,서울,1995-01,-2.1,1.8,10.3,1995-01-08,-5.7,-11.1,1995-01-30
25,108,서울,1995-02,1.2,6.0,9.9,1995-02-11,-2.8,-7.9,1995-02-01
